"datasets/ontologies/model(BigModel(toOntology).csv 0).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,43,7,10,0,
0,74,1,10,0,
0,80,1,10,0,
0,91,1,10,0,
1,9,2,10,0,
1,12,1,10,0,
1,39,1,10,0,
1,116,1,10,0,
1,130,2,10,0,
1,149,3,10,0,
2,18,1,10,0,
2,51,2,10,0,
2,65,1,10,0,
2,67,2,10,0,
2,69,3,10,0,
2,83,2,10,0,
2,88,1,10,0,
2,98,1,10,0,
2,107,2,10,0,
2,139,2,10,0,
3,2,1,10,0,
3,4,1,10,0,
3,22,1,10,0,
3,34,1,10,0,
3,45,1,10,0,
3,74,2,10,0,
3,89,2,10,0,
3,96,1,10,0,
3,100,2,10,0,
3,137,2,10,0,
4,62,1,10,0,
4,65,1,10,0,
4,101,1,10,0,
4,109,1,10,0,
4,162,2,10,0,
5,77,2,10,0,
5,97,6,10,0,
5,106,1,10,0,
5,108,2,10,0,
5,116,1,10,0,
6,28,3,10,0,
6,40,5,10,0,
6,68,2,10,0,
6,113,2,10,0,
7,53,2,10,0,
7,106,2,10,0,
8,56,2,10,0,
8,107,2,10,0,
8,132,8,10,0,
9,120,2,10,0,
9,181,2,10,0,
10,32,8,10,0,
10,37,2,10,0,
10,103,2,10,0,
10,105,8,10,0,
11,28,2,10,0,
11,45,8,10,0,
11,68,2,10,0,
12,9,2,10,0,
12,59,8,10,0,
12,120,8,10,0,
12,130,2,10,0,
13,23,8,10,0,
13,38,2,10,0,
13,58,8,10,0,
13,98,2,10,0,
14,112,8,10,0,
14,153,2,10,0,
15,43,8,10,0,
15,56,2,10,0,
15,132,2,10,0,
16,49,8,10,0,
16,74,2,10,0,
16,168,2,10,0,
17,14,8,10,0,
17,36,2,10,0,
17,162,2,10,0,
17,166,8,10,0,
18,40,8,10,0,
18,93,8,10,0,
18,122,2,10,0,
18,145,2,10,0,
19,1,2,10,0,
19,22,1,10,0,
19,36,1,10,0,
19,108,7,10,0,
20,1,3,10,0,
20,23,2,10,0,
20,124,1,10,0,
20,151,2,10,0,
21,26,1,10,0,
21,96,2,10,0,
21,100,2,10,0,
21,165,2,10,0,
22,11,1,10,0,
22,154,2,10,0,
23,123,1,10,0,
23,154,3,10,0,
24,59,1,10,0,
25,147,1,10,0,
26,23,1,10,0,
26,126,1,10,0,
26,195,1,10,0,
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 1).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,23,1,10,1,
0,88,8,10,1,
1,26,1,10,1,
1,112,8,10,1,
1,117,8,10,1,
1,131,1,10,1,
2,36,3,10,1,
2,135,2,10,1,
2,142,1,10,1,
2,144,1,10,1,
3,104,2,10,1,
3,117,1,10,1,
4,21,10,10,1,
4,60,1,10,1,
4,134,8,10,1,
5,144,10,10,1,
6,4,10,10,1,
6,107,10,10,1,
7,81,10,10,1,
8,27,10,10,1,
9,174,10,10,1,
10,60,10,10,1,
10,182,10,10,1,
11,20,9,10,1,
11,39,1,10,1,
12,30,9,10,1,
12,64,9,10,1,
12,69,1,10,1,
13,10,1,10,1,
13,17,9,10,1,
13,18,9,10,1,
13,145,1,10,1,
14,19,1,10,1,
14,41,9,10,1,
14,99,10,10,1,
15,3,9,10,1,
15,73,1,10,1,
15,78,1,10,1,
15,99,9,10,1,
16,113,1,10,1,
16,141,9,10,1,
16,175,1,10,1,
17,67,1,10,1,
17,77,1,10,1,
17,124,9,10,1,
18,110,9,10,1,
18,113,1,10,1,
19,31,9,10,1,
19,148,1,10,1,
19,188,1,10,1,
20,112,8,10,1,
20,119,1,10,1,
20,180,1,10,1,
21,76,7,10,1,
21,151,2,10,1,
21,183,1,10,1,
21,185,2,10,1,
22,21,1,10,1,
22,39,1,10,1,
22,98,1,10,1,
22,111,1,10,1,
25,78,2,10,1,
26,38,1,10,1,
26,187,1,10,1,
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 2).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,69,2,10,2,
0,122,6,10,2,
0,168,2,10,2,
0,172,1,10,2,
1,0,1,10,2,
1,9,1,10,2,
1,11,2,10,2,
1,15,1,10,2,
1,34,2,10,2,
1,48,1,10,2,
1,79,3,10,2,
1,99,1,10,2,
1,105,1,10,2,
1,120,3,10,2,
1,162,2,10,2,
2,55,2,10,2,
2,87,1,10,2,
2,124,1,10,2,
2,129,2,10,2,
2,163,5,10,2,
2,170,3,10,2,
3,17,7,10,2,
3,98,6,10,2,
3,103,2,10,2,
3,139,1,10,2,
3,144,1,10,2,
3,169,1,10,2,
4,21,1,10,2,
4,43,8,10,2,
4,57,1,10,2,
4,75,1,10,2,
4,120,1,10,2,
5,21,1,10,2,
5,64,9,10,2,
5,78,1,10,2,
6,88,9,10,2,
6,130,1,10,2,
6,168,9,10,2,
6,177,1,10,2,
7,98,9,10,2,
7,158,10,10,2,
8,97,10,10,2,
9,40,9,10,2,
9,102,10,10,2,
9,181,1,10,2,
10,7,9,10,2,
10,16,10,10,2,
10,155,1,10,2,
11,21,10,10,2,
11,76,10,10,2,
12,161,10,10,2,
13,55,10,10,2,
13,87,10,10,2,
14,66,10,10,2,
14,68,10,10,2,
15,52,10,10,2,
15,61,10,10,2,
16,147,10,10,2,
17,46,9,10,2,
17,160,10,10,2,
17,188,1,10,2,
18,123,10,10,2,
18,186,10,10,2,
19,12,10,10,2,
20,192,10,10,2,
21,151,7,10,2,
22,32,1,10,2,
23,2,5,10,2,
23,43,1,10,2,
23,79,1,10,2,
24,166,1,10,2,
24,187,2,10,2,
25,41,1,10,2,
25,53,1,10,2,
25,91,1,10,2,
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 3).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,9,9,10,3,TOFD
0,33,1,10,3,TOFD
0,39,1,10,3,TOFD
0,73,2,10,3,TOFD
0,75,6,10,3,TOFD
0,87,1,10,3,TOFD
1,7,9,10,3,TOFD
1,9,1,10,3,TOFD
1,57,2,10,3,TOFD
1,69,1,10,3,TOFD
1,79,2,10,3,TOFD
1,81,1,10,3,TOFD
2,5,8,10,3,TOFD
2,13,7,10,3,TOFD
2,14,2,10,3,TOFD
2,18,1,10,3,TOFD
2,98,2,10,3,TOFD
3,25,8,10,3,TOFD
3,31,1,10,3,TOFD
3,72,2,10,3,TOFD
3,75,2,10,3,TOFD
3,88,5,10,3,TOFD
3,93,1,10,3,TOFD
4,23,1,10,3,TOFD
4,68,2,10,3,TOFD
4,76,8,10,3,TOFD
4,79,2,10,3,TOFD
5,14,1,10,3,TOFD
5,45,1,10,3,TOFD
5,68,10,10,3,TOFD
6,4,1,10,3,TOFD
6,69,9,10,3,TOFD
7,25,8,10,3,TOFD
7,95,10,10,3,TOFD
7,98,1,10,3,TOFD
8,31,2,10,3,TOFD
8,64,4,10,3,TOFD
8,71,9,10,3,TOFD
8,102,5,10,3,TOFD
9,15,10,10,3,TOFD
10,14,10,10,3,TOFD
10,31,10,10,3,TOFD
11,21,10,10,3,TOFD
11,99,10,10,3,TOFD
12,42,10,10,3,TOFD
12,104,10,10,3,TOFD
13,36,10,10,3,TOFD
13,82,10,10,3,TOFD
14,29,10,10,3,TOFD
16,51,10,10,3,TOFD
16,59,10,10,3,TOFD
18,31,10,10,3,TOFD
19,0,6,10,3,TOFD
19,98,10,10,3,TOFD
20,58,10,10,3,TOFD
20,90,9,10,3,TOFD
21,7,8,10,3,TOFD
21,26,10,10,3,TOFD
22,7,1,10,3,TOFD
22,39,4,10,3,TOFD
23,57,5,10,3,TOFD
24,8,2,10,3,TOFD
25,71,1,10,3,TOFD
27,15,1,10,3,TOFD
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 4).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,9,6,10,4,TOFD
0,32,1,10,4,TOFD
0,50,1,10,4,TOFD
0,55,6,10,4,TOFD
0,64,5,10,4,TOFD
0,95,1,10,4,TOFD
1,16,1,10,4,TOFD
1,63,9,10,4,TOFD
1,75,1,10,4,TOFD
2,10,2,10,4,TOFD
2,50,1,10,4,TOFD
2,63,1,10,4,TOFD
2,90,1,10,4,TOFD
2,91,7,10,4,TOFD
2,96,8,10,4,TOFD
3,18,1,10,4,TOFD
3,52,3,10,4,TOFD
3,55,1,10,4,TOFD
3,88,9,10,4,TOFD
3,89,4,10,4,TOFD
4,3,2,10,4,TOFD
4,26,10,10,4,TOFD
4,47,2,10,4,TOFD
4,55,6,10,4,TOFD
5,63,1,10,4,TOFD
5,77,10,10,4,TOFD
6,34,8,10,4,TOFD
6,49,6,10,4,TOFD
6,76,2,10,4,TOFD
7,5,10,10,4,TOFD
7,54,10,10,4,TOFD
8,53,10,10,4,TOFD
9,46,1,10,4,TOFD
9,69,9,10,4,TOFD
9,101,10,10,4,TOFD
10,31,10,10,4,TOFD
11,81,10,10,4,TOFD
11,82,10,10,4,TOFD
12,58,10,10,4,TOFD
12,100,10,10,4,TOFD
13,12,10,10,4,TOFD
13,72,10,10,4,TOFD
14,88,10,10,4,TOFD
14,104,10,10,4,TOFD
15,13,10,10,4,TOFD
15,49,10,10,4,TOFD
17,33,10,10,4,TOFD
18,28,10,10,4,TOFD
18,103,10,10,4,TOFD
19,77,10,10,4,TOFD
19,91,3,10,4,TOFD
20,85,10,10,4,TOFD
21,10,9,10,4,TOFD
21,69,6,10,4,TOFD
22,23,4,10,4,TOFD
22,67,6,10,4,TOFD
23,5,4,10,4,TOFD
24,46,1,10,4,TOFD
24,59,1,10,4,TOFD
25,57,2,10,4,TOFD
26,99,1,10,4,TOFD
27,49,2,10,4,TOFD
27,90,1,10,4,TOFD
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 6).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,5,5,10,6,TOFD
0,8,1,10,6,TOFD
0,17,1,10,6,TOFD
0,21,8,10,6,TOFD
0,48,5,10,6,TOFD
1,40,1,10,6,TOFD
1,53,9,10,6,TOFD
1,59,4,10,6,TOFD
1,71,1,10,6,TOFD
1,75,1,10,6,TOFD
1,81,2,10,6,TOFD
2,17,2,10,6,TOFD
2,28,8,10,6,TOFD
2,49,2,10,6,TOFD
3,10,1,10,6,TOFD
3,11,1,10,6,TOFD
3,12,2,10,6,TOFD
3,43,1,10,6,TOFD
3,60,8,10,6,TOFD
3,61,1,10,6,TOFD
3,71,6,10,6,TOFD
4,12,6,10,6,TOFD
4,17,3,10,6,TOFD
4,27,8,10,6,TOFD
4,78,2,10,6,TOFD
4,93,1,10,6,TOFD
5,19,2,10,6,TOFD
5,20,2,10,6,TOFD
5,47,3,10,6,TOFD
5,69,3,10,6,TOFD
5,77,2,10,6,TOFD
5,92,8,10,6,TOFD
6,11,8,10,6,TOFD
6,29,1,10,6,TOFD
6,66,9,10,6,TOFD
6,83,1,10,6,TOFD
7,5,1,10,6,TOFD
7,39,2,10,6,TOFD
7,58,8,10,6,TOFD
7,72,8,10,6,TOFD
7,73,1,10,6,TOFD
8,0,8,10,6,TOFD
8,22,1,10,6,TOFD
8,47,1,10,6,TOFD
9,40,10,10,6,TOFD
10,71,10,10,6,TOFD
10,99,10,10,6,TOFD
11,9,10,10,6,TOFD
11,89,10,10,6,TOFD
12,33,10,10,6,TOFD
12,52,10,10,6,TOFD
13,5,10,10,6,TOFD
14,40,10,10,6,TOFD
14,66,10,10,6,TOFD
15,36,10,10,6,TOFD
15,60,10,10,6,TOFD
16,18,10,10,6,TOFD
16,51,10,10,6,TOFD
17,26,10,10,6,TOFD
18,8,10,10,6,TOFD
19,40,10,10,6,TOFD
19,41,8,10,6,TOFD
20,2,9,10,6,TOFD
21,38,6,10,6,TOFD
22,31,5,10,6,TOFD
22,86,5,10,6,TOFD
23,80,2,10,6,TOFD
23,108,2,10,6,TOFD
24,7,3,10,6,TOFD
25,96,1,10,6,TOFD
26,24,1,10,6,TOFD
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 9).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
5,82,1,10,9,thinet
9,48,1,10,9,thinet
20,84,1,10,9,thinet
21,101,1,10,9,thinet
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 10).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,96,1,10,10,thinet
6,67,3,10,10,thinet
15,87,6,10,10,thinet
16,9,4,10,10,thinet
16,69,9,10,10,thinet
18,74,8,10,10,thinet
18,100,1,10,10,thinet
19,81,7,10,10,thinet
20,108,1,10,10,thinet
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 11).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
0,48,1,10,11,thinet
0,70,6,10,11,thinet
0,76,6,10,11,thinet
0,103,1,10,11,thinet
1,9,8,10,11,thinet
1,46,1,10,11,thinet
1,66,1,10,11,thinet
5,48,1,10,11,thinet
6,8,5,10,11,thinet
6,53,2,10,11,thinet
7,9,3,10,11,thinet
7,97,1,10,11,thinet
13,0,1,10,11,thinet
13,36,1,10,11,thinet
24,11,1,10,11,thinet
24,37,1,10,11,thinet
26,32,1,10,11,thinet
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 12).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
2,39,1,10,12,RandomStructured
3,118,1,10,12,RandomStructured
3,128,1,10,12,RandomStructured
4,17,7,10,12,RandomStructured
4,28,1,10,12,RandomStructured
4,130,1,10,12,RandomStructured
5,73,9,10,12,RandomStructured
5,80,1,10,12,RandomStructured
5,131,1,10,12,RandomStructured
6,68,1,10,12,RandomStructured
6,104,9,10,12,RandomStructured
6,113,1,10,12,RandomStructured
8,21,1,10,12,RandomStructured
8,107,1,10,12,RandomStructured
8,132,9,10,12,RandomStructured
9,5,1,10,12,RandomStructured
10,32,9,10,12,RandomStructured
10,42,1,10,12,RandomStructured
10,89,1,10,12,RandomStructured
11,124,9,10,12,RandomStructured
11,159,1,10,12,RandomStructured
12,72,9,10,12,RandomStructured
12,96,1,10,12,RandomStructured
13,98,1,10,12,RandomStructured
13,113,1,10,12,RandomStructured
14,34,1,10,12,RandomStructured
14,72,1,10,12,RandomStructured
14,171,9,10,12,RandomStructured
14,182,8,10,12,RandomStructured
15,40,1,10,12,RandomStructured
15,118,9,10,12,RandomStructured
16,37,2,10,12,RandomStructured
16,118,1,10,12,RandomStructured
17,151,1,10,12,RandomStructured
18,40,9,10,12,RandomStructured
18,168,1,10,12,RandomStructured
19,149,8,10,12,RandomStructured
20,44,8,10,12,RandomStructured
20,124,6,10,12,RandomStructured
21,161,4,10,12,RandomStructured
22,15,1,10,12,RandomStructured
22,48,2,10,12,RandomStructured
22,173,7,10,12,RandomStructured
23,38,6,10,12,RandomStructured
23,167,1,10,12,RandomStructured
24,135,5,10,12,RandomStructured
24,196,2,10,12,RandomStructured
,,,,,
"datasets/ontologies/model(BigModel(toOntology).csv 13).ttl",,,,,
Layer,node,Number of connected classes,Number of classes total,csv row,pruning type
1,19,1,10,13,RandomStructured
1,109,2,10,13,RandomStructured
1,134,5,10,13,RandomStructured
1,173,2,10,13,RandomStructured
2,107,2,10,13,RandomStructured
2,142,1,10,13,RandomStructured
2,149,1,10,13,RandomStructured
2,166,1,10,13,RandomStructured
2,167,2,10,13,RandomStructured
3,38,3,10,13,RandomStructured
3,70,1,10,13,RandomStructured
3,88,2,10,13,RandomStructured
3,97,3,10,13,RandomStructured
3,114,1,10,13,RandomStructured
